FILENAME,0dB,-5dB,DeepFilterNet
1_181_plus_5-194930-B-1_-5dB.wav,0.7094,0.7317,0.5543
1_181_plus_5-194930-B-1_-5dB_DeepFilterNet3.wav,0.7094,0.7317,0.5748
1_195_plus_4-170078-A-1_-5dB.wav,0.7060,0.6677,0.3716
1_195_plus_4-170078-A-1_-5dB_DeepFilterNet3.wav,0.7060,0.6677,0.3977
1_249_plus_5-200334-B-1_-5dB.wav,0.6737,0.5383,0.6998
1_249_plus_5-200334-B-1_-5dB_DeepFilterNet3.wav,0.6737,0.5383,0.5599
1_282_plus_1-26806-A-1_-5dB.wav,0.5734,0.5325,0.5065
1_282_plus_1-26806-A-1_-5dB_DeepFilterNet3.wav,0.5734,0.5325,0.5356
1_311_plus_5-234879-A-1_-5dB.wav,0.3646,0.3106,0.5726
1_311_plus_5-234879-A-1_-5dB_DeepFilterNet3.wav,0.3646,0.3106,0.5976
1_361_plus_2-96460-A-1_-5dB.wav,0.2588,0.3004,0.4460
1_361_plus_2-96460-A-1_-5dB_DeepFilterNet3.wav,0.2588,0.3004,0.5228
1_396_plus_5-233160-A-1_-5dB.wav,0.4848,0.4255,0.3748
1_396_plus_5-233160-A-1_-5dB_DeepFilterNet3.wav,0.4848,0.4255,0.4428
1_418_plus_5-194930-A-1_-5dB.wav,0.8874,0.8406,0.5287
1_418_plus_5-194930-A-1_-5dB_DeepFilterNet3.wav,0.8874,0.8406,0.5194
1_458_plus_3-134049-A-1_-5dB.wav,0.4206,0.2313,0.4392
1_458_plus_3-134049-A-1_-5dB_DeepFilterNet3.wav,0.4206,0.2313,0.2944
1_474_plus_4-208021-A-1_-5dB.wav,0.8718,0.6150,0.3266
1_474_plus_4-208021-A-1_-5dB_DeepFilterNet3.wav,0.8718,0.6150,0.3266
