filename,category,snr_level,method,processing_time_ms
1_106_plus_2-125875-A-13_-5dB.wav,crickets,-5dB,DeepFilterNet,40.6
1_149_plus_2-80844-A-13_-5dB.wav,crickets,-5dB,DeepFilterNet,40.64
1_16_plus_3-129338-A-13_-5dB.wav,crickets,-5dB,DeepFilterNet,42.57
1_271_plus_3-134802-A-13_-5dB.wav,crickets,-5dB,DeepFilterNet,32.55
1_286_plus_3-155766-A-13_-5dB.wav,crickets,-5dB,DeepFilterNet,40.76
1_298_plus_1-59102-A-13_-5dB.wav,crickets,-5dB,DeepFilterNet,42.06
1_366_plus_2-96033-A-13_-5dB.wav,crickets,-5dB,DeepFilterNet,39.41
1_394_plus_1-7456-A-13_-5dB.wav,crickets,-5dB,DeepFilterNet,34.61
1_455_plus_3-163607-A-13_-5dB.wav,crickets,-5dB,DeepFilterNet,38.98
1_97_plus_5-210540-A-13_-5dB.wav,crickets,-5dB,DeepFilterNet,34.53
