filename,category,snr_level,method,processing_time_ms
1_127_plus_1-47714-A-16_0dB.wav,wind,0dB,DeepFilterNet,5864.84
1_144_plus_1-51036-A-16_0dB.wav,wind,0dB,DeepFilterNet,5805.35
1_150_plus_4-144083-B-16_0dB.wav,wind,0dB,DeepFilterNet,5736.61
1_286_plus_2-109371-B-16_0dB.wav,wind,0dB,DeepFilterNet,5851.69
1_370_plus_1-69760-A-16_0dB.wav,wind,0dB,DeepFilterNet,5802.07
1_43_plus_4-163606-A-16_0dB.wav,wind,0dB,DeepFilterNet,5733.07
1_450_plus_2-109371-C-16_0dB.wav,wind,0dB,DeepFilterNet,5833.43
1_477_plus_5-217186-C-16_0dB.wav,wind,0dB,DeepFilterNet,5859.45
1_53_plus_3-134699-B-16_0dB.wav,wind,0dB,DeepFilterNet,5888.43
1_75_plus_4-163609-A-16_0dB.wav,wind,0dB,DeepFilterNet,5851.54
