filename,category,snr_level,method,processing_time_ms
1_129_plus_4-150364-A-46_0dB.wav,church_bells,0dB,DeepFilterNet,4698.7
1_136_plus_4-140034-A-46_0dB.wav,church_bells,0dB,DeepFilterNet,4875.03
1_287_plus_2-61618-A-46_0dB.wav,church_bells,0dB,DeepFilterNet,5061.06
1_325_plus_4-147657-A-46_0dB.wav,church_bells,0dB,DeepFilterNet,4748.55
1_336_plus_3-111102-A-46_0dB.wav,church_bells,0dB,DeepFilterNet,4652.6
1_355_plus_2-59566-A-46_0dB.wav,church_bells,0dB,DeepFilterNet,4751.76
1_3_plus_3-111102-B-46_0dB.wav,church_bells,0dB,DeepFilterNet,4657.4
1_428_plus_1-54747-A-46_0dB.wav,church_bells,0dB,DeepFilterNet,4811.48
1_64_plus_1-13571-A-46_0dB.wav,church_bells,0dB,DeepFilterNet,4627.02
1_95_plus_1-48298-A-46_0dB.wav,church_bells,0dB,DeepFilterNet,4767.33
