FILENAME,0dB,-5dB,DeepFilterNet
1_100_plus_2-99796-A-32_0dB.wav,0.5557,0.4347,0.4766
1_100_plus_2-99796-A-32_0dB_DeepFilterNet3.wav,0.5557,0.4347,0.4995
1_124_plus_2-120333-A-32_0dB.wav,0.7944,0.6288,0.5988
1_124_plus_2-120333-A-32_0dB_DeepFilterNet3.wav,0.7944,0.6288,0.5406
1_130_plus_4-167155-A-32_0dB.wav,0.5774,0.3818,0.3625
1_130_plus_4-167155-A-32_0dB_DeepFilterNet3.wav,0.5774,0.3818,0.4097
1_292_plus_3-144106-A-32_0dB.wav,0.3981,0.2906,0.4048
1_292_plus_3-144106-A-32_0dB_DeepFilterNet3.wav,0.3981,0.2906,0.3914
1_364_plus_5-223099-A-32_0dB.wav,0.5398,0.4419,0.6954
1_364_plus_5-223099-A-32_0dB_DeepFilterNet3.wav,0.5398,0.4419,0.6736
1_366_plus_5-244178-A-32_0dB.wav,0.6466,0.4795,0.4830
1_366_plus_5-244178-A-32_0dB_DeepFilterNet3.wav,0.6466,0.4795,0.5393
1_410_plus_4-177243-A-32_0dB.wav,0.3183,0.2095,0.2750
1_410_plus_4-177243-A-32_0dB_DeepFilterNet3.wav,0.3183,0.2095,0.2896
1_416_plus_1-94231-B-32_0dB.wav,0.1971,0.1271,0.3138
1_416_plus_1-94231-B-32_0dB_DeepFilterNet3.wav,0.1971,0.1271,0.3133
1_52_plus_5-223099-B-32_0dB.wav,0.7479,0.6142,0.3448
1_52_plus_5-223099-B-32_0dB_DeepFilterNet3.wav,0.7479,0.6142,0.2842
1_56_plus_5-234923-A-32_0dB.wav,0.7101,0.5688,0.6637
1_56_plus_5-234923-A-32_0dB_DeepFilterNet3.wav,0.7101,0.5688,0.5729
