FILENAME,0dB,-5dB,DeepFilterNet
1_100_plus_2-99796-A-32_-5dB.wav,0.5557,0.4347,0.4826
1_100_plus_2-99796-A-32_-5dB_DeepFilterNet3.wav,0.5557,0.4347,0.4189
1_124_plus_2-120333-A-32_-5dB.wav,0.7944,0.6288,0.4016
1_124_plus_2-120333-A-32_-5dB_DeepFilterNet3.wav,0.7944,0.6288,0.3380
1_130_plus_4-167155-A-32_-5dB.wav,0.5774,0.3818,0.2484
1_130_plus_4-167155-A-32_-5dB_DeepFilterNet3.wav,0.5774,0.3818,0.2684
1_292_plus_3-144106-A-32_-5dB.wav,0.3981,0.2906,0.3653
1_292_plus_3-144106-A-32_-5dB_DeepFilterNet3.wav,0.3981,0.2906,0.3535
1_364_plus_5-223099-A-32_-5dB.wav,0.5398,0.4419,0.6966
1_364_plus_5-223099-A-32_-5dB_DeepFilterNet3.wav,0.5398,0.4419,0.6958
1_366_plus_5-244178-A-32_-5dB.wav,0.6466,0.4795,0.1749
1_366_plus_5-244178-A-32_-5dB_DeepFilterNet3.wav,0.6466,0.4795,0.4209
1_410_plus_4-177243-A-32_-5dB.wav,0.3183,0.2095,0.3239
1_410_plus_4-177243-A-32_-5dB_DeepFilterNet3.wav,0.3183,0.2095,0.3087
1_416_plus_1-94231-B-32_-5dB.wav,0.1971,0.1271,0.2821
1_416_plus_1-94231-B-32_-5dB_DeepFilterNet3.wav,0.1971,0.1271,0.2724
1_52_plus_5-223099-B-32_-5dB.wav,0.7479,0.6142,0.2653
1_52_plus_5-223099-B-32_-5dB_DeepFilterNet3.wav,0.7479,0.6142,0.3517
1_56_plus_5-234923-A-32_-5dB.wav,0.7101,0.5688,0.6589
1_56_plus_5-234923-A-32_-5dB_DeepFilterNet3.wav,0.7101,0.5688,0.6019
