filename,category,snr_level,method,processing_time_ms
1_200_plus_3-159445-B-45_0dB.wav,train,0dB,DeepFilterNet,40.33
1_211_plus_4-165606-A-45_0dB.wav,train,0dB,DeepFilterNet,40.06
1_215_plus_1-88409-A-45_0dB.wav,train,0dB,DeepFilterNet,31.05
1_237_plus_2-122066-A-45_0dB.wav,train,0dB,DeepFilterNet,31.05
1_245_plus_3-135650-B-45_0dB.wav,train,0dB,DeepFilterNet,27.02
1_254_plus_4-168446-A-45_0dB.wav,train,0dB,DeepFilterNet,27.03
1_470_plus_4-165845-A-45_0dB.wav,train,0dB,DeepFilterNet,26.02
1_489_plus_2-135649-A-45_0dB.wav,train,0dB,DeepFilterNet,34.56
1_493_plus_4-165791-A-45_0dB.wav,train,0dB,DeepFilterNet,34.01
1_54_plus_4-165845-B-45_0dB.wav,train,0dB,DeepFilterNet,34.87
