FILENAME,0dB,-5dB,DeepFilterNet
1_108_plus_4-174860-B-3_-5dB.wav,0.7839,0.6771,0.4586
1_108_plus_4-174860-B-3_-5dB_DeepFilterNet3.wav,0.7839,0.6771,0.4898
1_119_plus_4-213915-A-3_-5dB.wav,0.4150,0.3316,0.4388
1_119_plus_4-213915-A-3_-5dB_DeepFilterNet3.wav,0.4150,0.3316,0.4725
1_122_plus_1-69422-A-3_-5dB.wav,0.6781,0.6097,0.6901
1_122_plus_1-69422-A-3_-5dB_DeepFilterNet3.wav,0.6781,0.6097,0.6340
1_188_plus_1-77160-A-3_-5dB.wav,0.5090,0.4554,0.5396
1_188_plus_1-77160-A-3_-5dB_DeepFilterNet3.wav,0.5090,0.4554,0.4906
1_268_plus_5-194899-A-3_-5dB.wav,0.8689,0.8909,0.5087
1_268_plus_5-194899-A-3_-5dB_DeepFilterNet3.wav,0.8689,0.8909,0.5896
1_280_plus_5-194899-C-3_-5dB.wav,0.9123,0.9078,0.3959
1_280_plus_5-194899-C-3_-5dB_DeepFilterNet3.wav,0.9123,0.9078,0.5095
1_28_plus_3-124376-A-3_-5dB.wav,0.4516,0.4573,0.7332
1_28_plus_3-124376-A-3_-5dB_DeepFilterNet3.wav,0.4516,0.4573,0.7021
1_30_plus_3-152039-A-3_-5dB.wav,0.4028,0.3953,0.3060
1_30_plus_3-152039-A-3_-5dB_DeepFilterNet3.wav,0.4028,0.3953,0.3485
1_312_plus_4-174860-A-3_-5dB.wav,0.7921,0.6281,0.4242
1_312_plus_4-174860-A-3_-5dB_DeepFilterNet3.wav,0.7921,0.6281,0.3531
1_439_plus_2-104877-A-3_-5dB.wav,0.7609,0.7330,0.5488
1_439_plus_2-104877-A-3_-5dB_DeepFilterNet3.wav,0.7609,0.7330,0.4287
