filename,category,snr_level,method,processing_time_ms
1_134_plus_3-243726-A-43_-5dB.wav,car_horn,-5dB,DeepFilterNet,33.35
1_179_plus_4-191015-A-43_-5dB.wav,car_horn,-5dB,DeepFilterNet,41.57
1_190_plus_4-178402-A-43_-5dB.wav,car_horn,-5dB,DeepFilterNet,35.58
1_207_plus_4-175855-A-43_-5dB.wav,car_horn,-5dB,DeepFilterNet,38.66
1_238_plus_1-26177-A-43_-5dB.wav,car_horn,-5dB,DeepFilterNet,30.03
1_342_plus_3-155234-A-43_-5dB.wav,car_horn,-5dB,DeepFilterNet,25.52
1_386_plus_1-24074-A-43_-5dB.wav,car_horn,-5dB,DeepFilterNet,35.04
1_392_plus_3-146697-A-43_-5dB.wav,car_horn,-5dB,DeepFilterNet,37.42
1_75_plus_1-24076-A-43_-5dB.wav,car_horn,-5dB,DeepFilterNet,30.53
1_78_plus_5-179860-A-43_-5dB.wav,car_horn,-5dB,DeepFilterNet,31.06
